Filename	Lambda
MVP_R4.1000G_AGR.Phe_740_1.AFR.GIA.dbGaP.txt.gz	1.053
MVP_R4.1000G_AGR.Phe_110_11.AFR.GIA.dbGaP.txt.gz	1.053
MVP_R4.1000G_AGR.Phe_278.AMR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_522_1.EUR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_740.AFR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_110_1.AFR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_530.AFR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_562.AFR.GIA.dbGaP.txt.gz	1.052
MVP_R4.1000G_AGR.Phe_782_3.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_285.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_241_1.AMR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_401_22.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_250_1.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_418.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_259.EUR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_070.AFR.GIA.dbGaP.txt.gz	1.051
MVP_R4.1000G_AGR.Phe_585.AFR.GIA.dbGaP.txt.gz	1.05
MVP_R4.1000G_AGR.Phe_255_2.EUR.GIA.dbGaP.txt.gz	1.05
MVP_R4.1000G_AGR.Phe_411.AFR.GIA.dbGaP.txt.gz	1.05
MVP_R4.1000G_AGR.Phe_523_32.EUR.GIA.dbGaP.txt.gz	1.05
MVP_R4.1000G_AGR.Phe_369.EUR.GIA.dbGaP.txt.gz	1.05
MVP_R4.1000G_AGR.Phe_562_1.AFR.GIA.dbGaP.txt.gz	1.049
MVP_R4.1000G_AGR.Phe_411_8.AFR.GIA.dbGaP.txt.gz	1.049
MVP_R4.1000G_AGR.Phe_070_3.AFR.GIA.dbGaP.txt.gz	1.049
MVP_R4.1000G_AGR.Phe_740_11.AFR.GIA.dbGaP.txt.gz	1.048
MVP_R4.1000G_AGR.Phe_530_11.AFR.GIA.dbGaP.txt.gz	1.048
MVP_R4.1000G_AGR.Phe_735.AFR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_735_3.AFR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_755.EUR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_280.AFR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_440.AMR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_285_21.AMR.GIA.dbGaP.txt.gz	1.047
MVP_R4.1000G_AGR.Phe_278_11.AMR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_755_1.EUR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_244_1.EUR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_530_1.AFR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_260.AMR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_253_4.EUR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_401.AFR.GIA.dbGaP.txt.gz	1.046
MVP_R4.1000G_AGR.Phe_525_1.AFR.GIA.dbGaP.txt.gz	1.045
MVP_R4.1000G_AGR.Phe_476.AFR.GIA.dbGaP.txt.gz	1.045
MVP_R4.1000G_AGR.Phe_426.AFR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_375_1.AFR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_585_4.EUR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_496_2.AMR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_244_2.EUR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_276_1.AFR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_577_3.EUR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_280_1.AFR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_411_8.AMR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_255_21.EUR.GIA.dbGaP.txt.gz	1.044
MVP_R4.1000G_AGR.Phe_276.AFR.GIA.dbGaP.txt.gz	1.043
MVP_R4.1000G_AGR.Phe_760.AFR.GIA.dbGaP.txt.gz	1.043
MVP_R4.1000G_AGR.Phe_735_21.AMR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_272_11.AFR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_600.AFR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_411.AMR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_452.AFR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_939.AFR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_565.EUR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_250_24.AMR.GIA.dbGaP.txt.gz	1.042
MVP_R4.1000G_AGR.Phe_525.AFR.GIA.dbGaP.txt.gz	1.041
MVP_R4.1000G_AGR.Phe_465.AFR.GIA.dbGaP.txt.gz	1.041
MVP_R4.1000G_AGR.Phe_735_1.AFR.GIA.dbGaP.txt.gz	1.041
MVP_R4.1000G_AGR.Phe_368.AFR.GIA.dbGaP.txt.gz	1.041
MVP_R4.1000G_AGR.Phe_365_1.AMR.GIA.dbGaP.txt.gz	1.041
MVP_R4.1000G_AGR.Phe_585_33.AFR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_440.AFR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_496.AMR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_726.AFR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_389_1.AFR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_411_4.AMR.GIA.dbGaP.txt.gz	1.04
MVP_R4.1000G_AGR.Phe_371_1.EUR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_362.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_276_14.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_340.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_512_7.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_351.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_255.EUR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_327_32.AMR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_721.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_250_12.EUR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_720.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_244.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_250_3.AMR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_550.AFR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_433_8.AMR.GIA.dbGaP.txt.gz	1.039
MVP_R4.1000G_AGR.Phe_745.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_427_2.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_365.AMR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_483.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_536_3.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_252_1.EUR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_722.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_367_2.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_605.AFR.GIA.dbGaP.txt.gz	1.038
MVP_R4.1000G_AGR.Phe_740_9.AMR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_252.EUR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_512.AFR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_327_3.AMR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_785.AFR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_773.AFR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_427_7.AMR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_241.AFR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_255_1.EUR.GIA.dbGaP.txt.gz	1.037
MVP_R4.1000G_AGR.Phe_740_1.AMR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_594.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_599_5.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_495.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_716_1.EUR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_402.EUR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_721_1.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_427_21.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_411_3.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_272_13.AFR.GIA.dbGaP.txt.gz	1.036
MVP_R4.1000G_AGR.Phe_367_1.AMR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_327_4.AFR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_763.AFR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_761.AFR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_367_8.AMR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_496_2.AFR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_509.AFR.GIA.dbGaP.txt.gz	1.035
MVP_R4.1000G_AGR.Phe_367_2.AMR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_740.AMR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_244_4.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_285_21.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_415.AMR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_339.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_760.AMR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_585_1.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_362_3.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_250_23.AMR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_741_3.AFR.GIA.dbGaP.txt.gz	1.034
MVP_R4.1000G_AGR.Phe_741.AFR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_429_3.EUR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_411_2.AFR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_327.AFR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_585_3.AMR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_427.AFR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_208.AMR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_755_1.AMR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_241.AMR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_285_2.AFR.GIA.dbGaP.txt.gz	1.033
MVP_R4.1000G_AGR.Phe_443.AMR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_425_1.AMR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_411_2.AMR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_530_11.AMR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_425_1.AFR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_720_1.AFR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_425.AFR.GIA.dbGaP.txt.gz	1.032
MVP_R4.1000G_AGR.Phe_338.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_276_13.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_455.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_246.EUR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_428_3.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_351.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_550.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_765.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_443_9.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_250_7.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_338_2.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_521.AFR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_476.AMR.GIA.dbGaP.txt.gz	1.031
MVP_R4.1000G_AGR.Phe_599_4.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_755.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_585_33.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_362_3.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_755_1.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_276_13.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_250_22.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_389_1.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_585.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_110.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_550_1.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_796.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_428_4.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_735_3.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_599.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_530_1.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_371_1.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_362_2.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_550_1.AFR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_745.AMR.GIA.dbGaP.txt.gz	1.03
MVP_R4.1000G_AGR.Phe_458_9.AMR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_741_3.AMR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_835.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_735_1.AMR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_521_1.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_735_2.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_755.AMR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_512_8.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_371.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_286_2.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_563.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_722_6.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_523.AFR.GIA.dbGaP.txt.gz	1.029
MVP_R4.1000G_AGR.Phe_415.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_274_1.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_366_2.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_452.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_456.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_789.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_250_1.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_350.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_599_4.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_586.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_716_9.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_735_2.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_530.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_740_2.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_425.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_571_51.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_561.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_475.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_480.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_562_1.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_840.AFR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_285_2.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_740_11.AMR.GIA.dbGaP.txt.gz	1.028
MVP_R4.1000G_AGR.Phe_591.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_389.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_735_21.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_401_22.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_272_13.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_523_3.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_395.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_250_6.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_379_2.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_512_9.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_327.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_433_31.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_562.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_726_1.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_433_21.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_561_1.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_509_1.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_722_1.AMR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_389.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_593_2.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_371_3.AFR.GIA.dbGaP.txt.gz	1.027
MVP_R4.1000G_AGR.Phe_578.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_276_14.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_433_3.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_727.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_244.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_401_21.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_274.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_427_21.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_523_1.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_433_2.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_735.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_380_4.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_350_2.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_362_2.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_720_1.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_401_21.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_726.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_365_11.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_464.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_591.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_458.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_599_2.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_599.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_244_4.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_523_32.AMR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_531.AFR.GIA.dbGaP.txt.gz	1.026
MVP_R4.1000G_AGR.Phe_433_8.AFR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_525.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_356.AFR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_522_1.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_070.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_531.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_070_3.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_761.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_428_1.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_389_4.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_110_1.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_716.AFR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_722.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_600.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_573_7.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_465.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_427_2.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_433_31.AMR.GIA.dbGaP.txt.gz	1.025
MVP_R4.1000G_AGR.Phe_596.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_379.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_345.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_338_2.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_362_4.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_367_4.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_339.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_773.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_765.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_835.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_433_3.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_275.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_571.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_464.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_497.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_571_5.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_578_8.AFR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_721_1.AMR.GIA.dbGaP.txt.gz	1.024
MVP_R4.1000G_AGR.Phe_578_2.AFR.GIA.dbGaP.txt.gz	1.024
