Filename	Lambda
MVP_R4.1000G_AGR.Phe_496_2.EUR.GIA.dbGaP.txt.gz	1.253
MVP_R4.1000G_AGR.Phe_250_22.EUR.GIA.dbGaP.txt.gz	1.253
MVP_R4.1000G_AGR.Phe_366.EUR.GIA.dbGaP.txt.gz	1.252
MVP_R4.1000G_AGR.Phe_605.EUR.GIA.dbGaP.txt.gz	1.245
MVP_R4.1000G_AGR.Phe_338_2.EUR.GIA.dbGaP.txt.gz	1.244
MVP_R4.1000G_AGR.Phe_110_11.EUR.GIA.dbGaP.txt.gz	1.243
MVP_R4.1000G_AGR.Phe_367.EUR.GIA.dbGaP.txt.gz	1.242
MVP_R4.1000G_AGR.Phe_443_9.EUR.GIA.dbGaP.txt.gz	1.241
MVP_R4.1000G_AGR.Phe_722_6.EUR.GIA.dbGaP.txt.gz	1.24
MVP_R4.1000G_AGR.Phe_286_2.EUR.GIA.dbGaP.txt.gz	1.238
MVP_R4.1000G_AGR.Phe_428_3.EUR.GIA.dbGaP.txt.gz	1.234
MVP_R4.1000G_AGR.Phe_443.EUR.GIA.dbGaP.txt.gz	1.233
MVP_R4.1000G_AGR.Phe_550.EUR.GIA.dbGaP.txt.gz	1.231
MVP_R4.1000G_AGR.Phe_465.EUR.GIA.dbGaP.txt.gz	1.229
MVP_R4.1000G_AGR.Phe_726.EUR.GIA.dbGaP.txt.gz	1.229
MVP_R4.1000G_AGR.Phe_276.EUR.GIA.dbGaP.txt.gz	1.228
MVP_R4.1000G_AGR.Phe_339.EUR.GIA.dbGaP.txt.gz	1.219
MVP_R4.1000G_AGR.Phe_773.EUR.GIA.dbGaP.txt.gz	1.218
MVP_R4.1000G_AGR.Phe_585_33.EUR.GIA.dbGaP.txt.gz	1.217
MVP_R4.1000G_AGR.Phe_272_13.EUR.GIA.dbGaP.txt.gz	1.215
MVP_R4.1000G_AGR.Phe_350.EUR.GIA.dbGaP.txt.gz	1.215
MVP_R4.1000G_AGR.Phe_366_2.EUR.GIA.dbGaP.txt.gz	1.214
MVP_R4.1000G_AGR.Phe_525.EUR.GIA.dbGaP.txt.gz	1.213
MVP_R4.1000G_AGR.Phe_585_1.EUR.GIA.dbGaP.txt.gz	1.213
MVP_R4.1000G_AGR.Phe_740_11.EUR.GIA.dbGaP.txt.gz	1.209
MVP_R4.1000G_AGR.Phe_401_22.EUR.GIA.dbGaP.txt.gz	1.209
MVP_R4.1000G_AGR.Phe_512_9.EUR.GIA.dbGaP.txt.gz	1.208
MVP_R4.1000G_AGR.Phe_365_11.EUR.GIA.dbGaP.txt.gz	1.206
MVP_R4.1000G_AGR.Phe_386_9.EUR.GIA.dbGaP.txt.gz	1.205
MVP_R4.1000G_AGR.Phe_763.EUR.GIA.dbGaP.txt.gz	1.203
MVP_R4.1000G_AGR.Phe_367_4.EUR.GIA.dbGaP.txt.gz	1.203
MVP_R4.1000G_AGR.Phe_362_2.EUR.GIA.dbGaP.txt.gz	1.203
MVP_R4.1000G_AGR.Phe_250_6.EUR.GIA.dbGaP.txt.gz	1.201
MVP_R4.1000G_AGR.Phe_480.EUR.GIA.dbGaP.txt.gz	1.197
MVP_R4.1000G_AGR.Phe_509.EUR.GIA.dbGaP.txt.gz	1.197
MVP_R4.1000G_AGR.Phe_525_1.EUR.GIA.dbGaP.txt.gz	1.196
MVP_R4.1000G_AGR.Phe_720_1.EUR.GIA.dbGaP.txt.gz	1.195
MVP_R4.1000G_AGR.Phe_362.EUR.GIA.dbGaP.txt.gz	1.195
MVP_R4.1000G_AGR.Phe_327_4.EUR.GIA.dbGaP.txt.gz	1.195
MVP_R4.1000G_AGR.Phe_735.EUR.GIA.dbGaP.txt.gz	1.193
MVP_R4.1000G_AGR.Phe_495.EUR.GIA.dbGaP.txt.gz	1.193
